Participant ID,Intervention Group,#DaysOfRecordedData,First 5 Consecutive Days Position,First 5 Consecutive Days Mean,First 5 Consecutive Days Std Dev,Last 5 Consecutive Days Position,Last 5 Consecutive Days Mean,Last 5 Consecutive Days Std Dev,Distance Between First and Last 5 Days
22712,3,62,"(0, 4)",1,0,"(58, 62)",1.2,0.45,54
22803,1,56,"(10, 14)",1.2,0.45,"(55, 59)",1.2,0.45,41
22810,1,52,"(16, 20)",1,0,"(63, 67)",1.2,0.45,43
22811,1,59,"(9, 13)",1,0,"(63, 67)",1,0,50
22812,1,59,"(9, 13)",1,0,"(63, 67)",1,0,50
22813,1,51,"(16, 20)",1.2,0.45,"(60, 64)",1,0,40
22910,1,50,"(13, 17)",1,0,"(62, 66)",1,0,45
22911,1,62,"(3, 7)",1.4,0.89,"(59, 63)",1.4,0.55,52
22912,1,50,"(16, 20)",1,0,"(63, 67)",1,0,43
22918,1,47,"(16, 20)",1.2,0.45,"(63, 67)",1.2,0.45,43
